topurl	frequency
http://t.co/1I2XjikoXm	2
http://t.co/1N5rAoysbR	2
http://t.co/1ph6JgnMyn	2
http://t.co/1RXarhimf9	2
http://t.co/1T1W6ar85c	2
http://t.co/1V3kxE6ub8	2
http://t.co/1z8oF5hKWw	2
http://t.co/20ogJGFXza	2
http://t.co/24xqqDqBTw	2
http://t.co/2Ai3tPWeeN	2
http://t.co/2DQRa4EdIC	2
http://t.co/2jZYkF9Muw	2
http://t.co/2K5By04yjj	2
http://t.co/2kNSiGz5Nw	2
http://t.co/2pcQWUVevx	2
http://t.co/2Rxm7123z2	2
http://t.co/2wcEG2Gs5W	2
http://t.co/2wrGK5tzid	2
http://t.co/2zIhMkL10H	2
http://t.co/32pcwIFg2x	2
http://t.co/3fvdvxjSwF	2
http://t.co/3iVHMVLjgA	2
http://t.co/3JzFlQwif3	2
http://t.co/3L2ZfgC5pV	2
http://t.co/3qhi79Ik45	2
http://t.co/3Rc7qcYoH0	2
http://t.co/3WOb9sdHhN	2
http://t.co/3YsUfVllyR.	2
http://t.co/41xEwFwcul	2
http://t.co/49fMj7c7XH	2
http://t.co/4g56A76RHi	2
http://t.co/4qugI7JruH	2
http://t.co/4RPAGKfX25	2
http://t.co/4VVH9kaKX4	2
http://t.co/5aazDJks1H	2
http://t.co/5FryK0Qt8j	2
http://t.co/5kcSVHar24	2
http://t.co/5LgzfUyEc4	2
http://t.co/5mFTIdLWag	2
http://t.co/5P0opDPgHU	2
http://t.co/5tM1EiKwes	2
http://t.co/5X7gzFfXQv	2
http://t.co/5YVRQgQbuc	2
http://t.co/5YXBKImQOr	2
http://t.co/61fdqSvMRs	2
http://t.co/6cpeMPDB0s	2
http://t.co/6d3Iymx655	2
http://t.co/6l1mJQdwWo	2
http://t.co/6seRZaAzGa	2
http://t.co/78XrDgBOis	2
http://t.co/7A56hotA7W	2
http://t.co/7NXve96fmC	2
http://t.co/7otXckalbm	2
http://t.co/7peM1yhASZ	2
http://t.co/7RFTXwMWpi	2
http://t.co/7thVeOvNBT	2
http://t.co/7UNkmGWgBY	2
http://t.co/7XpHtB75pI	2
http://t.co/7yOCLKwi3V	2
http://t.co/81oLA9qD77¬†	2
http://t.co/8CzIVomcz7	2
http://t.co/8Oc8arWQfk	2
http://t.co/8OCwh78skt	2
http://t.co/8OGsAlANse	2
http://t.co/8t5Td18AXG	2
http://t.co/9eXJLbL3Nf	2
http://t.co/9JGY6VhvqV	2
http://t.co/9kyWZ8DlFt	2
http://t.co/9MxrmBzIRu	2
http://t.co/9pLtr2TJVL	2
http://t.co/9uDqg9ZBOj	2
http://t.co/A14	2
http://t.co/a22QBU0fiY	2
http://t.co/AEBvnQX8Mr	2
http://t.co/aiRCaCpAXb	2
http://t.co/AK4xFvghwl	2
http://t.co/AmFfA1cZkj	2
http://t.co/aMuA67wJHh	2
http://t.co/aNAW3p5ZP9	2
http://t.co/ARsUh	2
http://t.co/b2bGovHpmN	2
http://t.co/B6Te2P99go	2
http://t.co/ba7VTLdPEC	2
http://t.co/BBcqN9XvL2	2
http://t.co/bdKCtILjmk	2
http://t.co/bLQbXSXjpx	2
http://t.co/bLr32TEZ0O	2
http://t.co/BmEtnQcz10	2
http://t.co/BNqm2kqUfd	2
http://t.co/bnXiyy	2
http://t.co/bPbY33ORcj	2
http://t.co/BSsWAqcY5y	2
http://t.co/BuRCa2Sn5N	2
http://t.co/bYrQVqAVh0	2
http://t.co/c3Lwl0PuRc	2
http://t.co/c7nBvivpKe	2
http://t.co/CaRkZ5l5tr	2
http://t.co/CAxMx1nl4P	2
http://t.co/CbeHmMTkAb	2
http://t.co/CcaPRpruBR	2
http://t.co/Cfm4IQhUC4	2
http://t.co/CgtJZRAwtd	2
