LINK,ANNO,AMBIENTE (BLOG/NEWS/SITI DI PRIVATI/ENTI PUBBLICI/ACADEMIC/SOCIAL/WIKI)
http://beltrangambieryelicam.blogspot.it/2014/05/analisis-del-caso-google-contra-agencia.html?view=magazine,2014,blog lawyer
http://www.nccg.it/neils-blog-10-google-right-time-ecj-hopelessly-wrong/,2014,blog
http://news.yahoo.com/google-rates-internet-providers-video-streaming-quality-170528767--sector.html,2014,news
http://europa.eu/rapid/press-release_CJE-14-70_en.htm,2014,enti pubblici
http://eilbek.net/tag/tags/mario-costeja-gonz%C3%A1lez,2014,privati
http://curia.europa.eu/juris/document/document.jsf?docid=123131&doclang=EN,2012,enti pubblici
http://curia.europa.eu/juris/document/document.jsf?docid=152065&doclang=RO,2014,enti pubblici
http://www.corrierecomunicazioni.it/it-world/27555_privacy-corte-ue-google-sempre-responsabile-dei-dati-personali-anche-di-terze-parti.htm,2014,news
http://www.epravo.cz/top/clanky/vybrane-prakticke-dopady-rozhodnuti-google-spain-sl-google-inc-vs-agencia-espaola-de-proteccion-de-datos-aepd-mario-costeja-gonzalez1-95363.html,2014,privati Informatici
http://www.caracol.com.co/noticias/tecnologia/mario-costeja-quotgoogle-era-una-gran-herramienta-y-ahora-es-perfectaquot/20140513/nota/2221985.aspx,2014,news
http://www.azlp.gov.ba/aktuelnosti/default.aspx?id=1008&langTag=bs-BA,2014,enti pubblici
http://www.usatoday.com/opinion/,2014,news
http://www.juwiss.de/64-2014/,2014,privati lawier
http://www.jurablogs.com/topic/mario-costeja-gonzalez,2014,blog lawyer
http://policyreview.info/articles/news/google-spain-case-court-decision-privatises-public-sphere/291,2014,privati lawier
http://curia.europa.eu/juris/document/document_print.jsf?doclang=SV&text=&pageIndex=0&part=1&mode=req&docid=152065&occ=first&dir=&cid=595905,2014,enti pubblici
http://curia.europa.eu/jcms/upload/docs/application/pdf/2014-05/cp140070pl.pdf,2014,enti pubblici
http://www.dmlp.org/blog/2014/will-eu-courts-privacy-ruling-break-internet,2014,blog lawyer
http://www.thedrum.com/opinion/2014/05/19/right-be-forgotten-should-policing-personal-information-be-googles-responsibility,2014,news
http://www.lexology.com/library/detail.aspx?g=4dda3133-e93d-4ec8-8d61-8ece97a9bb4e,2014,privati lawier
http://veja.abril.com.br/noticia/vida-digital/decisao-da-justica-europeia-abre-precedentes-para-censura-afirmam-criticos,2014,news
http://tn.com.ar/tecno/f5/la-union-europea-reconoce-el-derecho-al-olvido-en-internet_498784,2014,news
http://www.georgehwangllc.com/news-140701.html#sthash.UEqpDfHs.dpbs,2014,privati lawier
http://www.i-comp.org/wp-content/uploads/2014/07/RTBF-Overview1.pdf,2014,privati lawier
https://cdt.org/blog/no-right-to-be-forgotten-says-the-eu%E2%80%99s-advocate-general/,2014,privati lawier
https://europensblog.wordpress.com/tag/eu-data-protection-directive-9546ec/,2014,blog
http://www.diplomacy.edu/blog/what-european-court-justice-telling-us-google-case,2014,blog
https://www.linkedin.com/pulse/20140515060819-64875646-your-right-to-be-un-goolgled-and-the-irony-of-the-case,2014,social
http://blogs.lexisnexis.co.uk/wipit/right-to-be-forgotten-further/,2014,blog lawyer
http://www.lavanguardia.com/internet/20130625/54376259093/europa-da-la-razon-a-google-no-existe-el-derecho-al-olvido-en-internet.html,2013,news
http://www.lexology.com/library/detail.aspx?g=595e7b84-f0f0-4319-8327-a2426aafe6c5,2014,privati lawier
http://www.cnpd.pt/bin/legis/juris/decisoes/20140513_TJUE_motoresBusca.pdf,2014,enti pubblici
http://www.ibanet.org/About_the_IBA/About_the_IBA.aspx,2014,privati lawier
"http://noticias.terra.es/espana/mario-costeja-el-espanol-que-ha-ganado-a-google,8f6d328f5e2f5410VgnCLD2000000dc6eb0aRCRD.html",2014,news
http://www.loc.gov/lawweb/servlet/lloc_news?disp3_l205403984_text,2014,enti pubblici
